index,date,temperature,precipitation,humidity,location
0,1/1,4.9399999999999995,0.1,68.0,Kumamoto
1,1/2,5.4799999999999995,0.0,71.6,Kumamoto
2,1/3,5.06,0.0,68.2,Kumamoto
3,1/4,4.46,0.2,69.8,Kumamoto
4,1/5,4.12,0.2,70.0,Kumamoto
5,1/6,3.9199999999999995,0.0,66.8,Kumamoto
6,1/7,4.220000000000001,0.0,66.4,Kumamoto
7,1/8,5.459999999999999,2.7,70.6,Kumamoto
8,1/9,5.18,0.1,64.2,Kumamoto
9,1/10,3.7000000000000006,0.0,67.4,Kumamoto
10,1/11,4.12,0.0,68.6,Kumamoto
11,1/12,4.720000000000001,0.0,62.8,Kumamoto
12,1/13,3.6799999999999997,4.8,69.6,Kumamoto
13,1/14,4.639999999999999,3.0,67.0,Kumamoto
14,1/15,4.28,0.2,69.0,Kumamoto
15,1/16,3.72,1.9,67.6,Kumamoto
16,1/17,4.119999999999999,0.0,64.6,Kumamoto
17,1/18,4.5600000000000005,0.0,68.6,Kumamoto
18,1/19,5.62,3.0,71.4,Kumamoto
19,1/20,7.62,2.8,70.8,Kumamoto
20,1/21,7.7,1.9,70.0,Kumamoto
21,1/22,6.56,0.2,72.6,Kumamoto
22,1/23,4.78,0.0,62.8,Kumamoto
23,1/24,4.720000000000001,0.1,66.4,Kumamoto
24,1/25,5.08,1.0,68.2,Kumamoto
25,1/26,4.3,0.0,60.6,Kumamoto
26,1/27,4.14,0.2,60.8,Kumamoto
27,1/28,6.5200000000000005,4.7,65.8,Kumamoto
28,1/29,5.68,0.0,63.6,Kumamoto
29,1/30,6.239999999999999,3.9,66.2,Kumamoto
30,1/31,6.659999999999999,0.3,68.8,Kumamoto
31,2/1,7.8,15.7,76.0,Kumamoto
32,2/2,7.62,3.7,74.0,Kumamoto
33,2/3,6.56,0.0,66.0,Kumamoto
34,2/4,6.4399999999999995,6.2,64.2,Kumamoto
35,2/5,5.9399999999999995,3.3,67.0,Kumamoto
36,2/6,6.779999999999999,8.2,74.8,Kumamoto
37,2/7,6.639999999999999,3.5,65.8,Kumamoto
38,2/8,6.22,3.9,64.0,Kumamoto
39,2/9,7.540000000000001,10.2,70.6,Kumamoto
40,2/10,7.4,11.0,73.8,Kumamoto
41,2/11,6.540000000000001,4.0,68.2,Kumamoto
42,2/12,5.1,1.9,64.2,Kumamoto
43,2/13,4.9799999999999995,6.4,73.8,Kumamoto
44,2/14,5.58,5.1,81.0,Kumamoto
45,2/15,7.139999999999999,6.6,74.8,Kumamoto
46,2/16,5.98,0.1,65.4,Kumamoto
47,2/17,6.74,4.3,66.4,Kumamoto
48,2/18,6.12,8.1,70.6,Kumamoto
49,2/19,5.28,1.2,64.6,Kumamoto
50,2/20,6.22,0.0,60.0,Kumamoto
51,2/21,6.839999999999999,0.0,60.8,Kumamoto
52,2/22,8.5,1.8,64.6,Kumamoto
53,2/23,10.66,3.5,64.6,Kumamoto
54,2/24,11.46,0.0,56.6,Kumamoto
55,2/25,11.76,2.0,61.6,Kumamoto
56,2/26,11.34,12.1,72.0,Kumamoto
57,2/27,11.92,3.5,76.0,Kumamoto
58,2/28,11.66,2.6,71.8,Kumamoto
59,3/1,11.540000000000001,14.4,84.2,Kumamoto
60,3/2,9.959999999999999,2.6,72.0,Kumamoto
61,3/3,8.54,0.0,57.6,Kumamoto
62,3/4,9.3,5.0,69.6,Kumamoto
63,3/5,10.3,6.3,72.0,Kumamoto
64,3/6,10.0,10.0,76.4,Kumamoto
65,3/7,9.18,1.2,66.4,Kumamoto
66,3/8,9.32,0.4,62.2,Kumamoto
67,3/9,9.459999999999999,5.7,65.4,Kumamoto
68,3/10,8.120000000000001,0.8,61.4,Kumamoto
69,3/11,7.12,0.0,57.0,Kumamoto
70,3/12,10.479999999999999,0.0,58.0,Kumamoto
71,3/13,12.36,10.4,71.4,Kumamoto
72,3/14,10.559999999999999,1.3,67.2,Kumamoto
73,3/15,10.76,2.6,64.8,Kumamoto
74,3/16,10.04,1.1,59.6,Kumamoto
75,3/17,10.6,1.7,67.4,Kumamoto
76,3/18,12.46,11.4,73.4,Kumamoto
77,3/19,13.4,0.1,68.0,Kumamoto
78,3/20,13.1,9.0,78.8,Kumamoto
79,3/21,10.48,0.6,61.6,Kumamoto
80,3/22,9.819999999999999,0.6,64.8,Kumamoto
81,3/23,11.6,20.3,73.8,Kumamoto
82,3/24,10.94,3.1,65.2,Kumamoto
83,3/25,10.58,3.5,61.6,Kumamoto
84,3/26,9.860000000000001,3.1,59.0,Kumamoto
85,3/27,10.82,1.4,63.4,Kumamoto
86,3/28,13.14,0.0,60.0,Kumamoto
